Id,Nome,Descriçao,Quantidade,Localização Casa,Foto,Tem Interesse
1,cadeira,cadeira de ferro branca,6,varanda externa - frente da casa,NA,NA
2,mesa,mesa de ferro branca,1,varanda externa - frente da casa,NA,NA
3,banco,banco de ferro branco,1,varanda externa - frente da casa,NA,NA
4,lustre retro,lustres,3,varanda externa - frente da casa,NA,NA
5,carpete,carpete de limpar os pés,1,varanda externa - frente da casa,NA,NA
6,lustres,lustres de vidro com listra,9,sala de visita e sala jantar,NA,NA
7,quadro,quadro guillame,1,sala de visita,NA,NA
8,canape,canape madeira com colchonete e 6 almofadas de veludo,1,sala de visita,NA,NA
9,decantador vinho,decantador de vinho madeira e prata,1,sala de visita,NA,NA
10,conjunto de prata,itens de prata com bandeja,6,sala de visita,NA,NA
11,quadro,quadro flor konstanin,1,sala de visita,NA,NA
12,porta retrato,porta retratos,10,sala de visita,NA,NA
13,arca,arca de maneira,1,sala de visita,NA,NA
14,quadro,quadro flor rosa,1,sala de visita,NA,NA
15,quadro,quadro flor azul,1,sala de visita,NA,NA
16,sofá,sofá 2 pessoas rosa (costa para jardim inverno),1,sala de visita,NA,NA
17,sofá,sofá 3 pessoas rosa,1,sala de visita,NA,NA
18,sofá,sofá 2 pessoas rosa (costas varanda alpendre),1,sala de visita,NA,NA
19,vaso,vaso azul vidro,1,sala de visita,NA,NA
20,cinzeiro,cinzeiro azul vidro,1,sala de visita,NA,NA
21,estatueta,estatueta bebedo porcelana,1,sala de visita,NA,NA
22,abajur,abajur,2,sala de visita,NA,NA
23,pote,pote porcelana,1,sala de visita,NA,NA
24,santa,santa com manto claro madeira,1,sala de visita,NA,NA
25,cinzeiro,cinzeiro de vidro,1,sala de visita,NA,NA
26,pote,pote de vidro,1,sala de visita,NA,NA
27,pote,pote de vidro,1,sala de visita,NA,NA
28,pote,pote de vidro,1,sala de visita,NA,NA
29,pote,pote de vidro,1,sala de visita,NA,NA
30,pote,pote de vidro com tampa,1,sala de visita,NA,NA
31,jarra,jarra de vidro,1,sala de visita,NA,NA
32,mesa,mesa de centro marmore grande,1,sala de visita,NA,NA
33,tapete,tapete,1,sala de visita,NA,NA
34,poltrona,poltrona individual de tecido,2,sala de visita,NA,NA
35,banco,banco de madeira couro,2,sala de visita,NA,NA
36,tapete,tapete vermelho menor,1,sala de visita,NA,NA
37,tapete,tapete fofo cinza,1,sala de visita,NA,NA
